data_losses,data_scores,n_features
84.82971111745302,0.4625,2
72.78952875529005,0.525,4
76.13739658160387,0.5,8
66.80449772419712,0.5,16
38.43903636704913,0.5125,32
19.619123817654025,0.575,64
-8.452735467840533,0.925,128
-20.107508106281145,0.95,256
-6.517102980206556,1.0,512
-0.30993731486177617,1.0,1024
